"HCx","EP","HT","PCommunity"
0.05,"Biomass","R","Arrhenatheretalia.txt"
0.1,"Biomass","R","Arrhenatheretalia.txt"
0.15,"Biomass","R","Arrhenatheretalia.txt"
0.2,"Biomass","R","Arrhenatheretalia.txt"
0.25,"Biomass","R","Arrhenatheretalia.txt"
0.3,"Biomass","R","Arrhenatheretalia.txt"
0.35,"Biomass","R","Arrhenatheretalia.txt"
0.4,"Biomass","R","Arrhenatheretalia.txt"
0.45,"Biomass","R","Arrhenatheretalia.txt"
0.5,"Biomass","R","Arrhenatheretalia.txt"
0.75,"Biomass","R","Arrhenatheretalia.txt"
0.9,"Biomass","R","Arrhenatheretalia.txt"
0.05,"Mortality","R","Arrhenatheretalia.txt"
0.1,"Mortality","R","Arrhenatheretalia.txt"
0.15,"Mortality","R","Arrhenatheretalia.txt"
0.2,"Mortality","R","Arrhenatheretalia.txt"
0.25,"Mortality","R","Arrhenatheretalia.txt"
0.3,"Mortality","R","Arrhenatheretalia.txt"
0.35,"Mortality","R","Arrhenatheretalia.txt"
0.4,"Mortality","R","Arrhenatheretalia.txt"
0.45,"Mortality","R","Arrhenatheretalia.txt"
0.5,"Mortality","R","Arrhenatheretalia.txt"
0.75,"Mortality","R","Arrhenatheretalia.txt"
0.9,"Mortality","R","Arrhenatheretalia.txt"
0.05,"Establishment","R","Arrhenatheretalia.txt"
0.1,"Establishment","R","Arrhenatheretalia.txt"
0.15,"Establishment","R","Arrhenatheretalia.txt"
0.2,"Establishment","R","Arrhenatheretalia.txt"
0.25,"Establishment","R","Arrhenatheretalia.txt"
0.3,"Establishment","R","Arrhenatheretalia.txt"
0.35,"Establishment","R","Arrhenatheretalia.txt"
0.4,"Establishment","R","Arrhenatheretalia.txt"
0.45,"Establishment","R","Arrhenatheretalia.txt"
0.5,"Establishment","R","Arrhenatheretalia.txt"
0.75,"Establishment","R","Arrhenatheretalia.txt"
0.9,"Establishment","R","Arrhenatheretalia.txt"
0.05,"Biomass","R","Calthion.txt"
0.1,"Biomass","R","Calthion.txt"
0.15,"Biomass","R","Calthion.txt"
0.2,"Biomass","R","Calthion.txt"
0.25,"Biomass","R","Calthion.txt"
0.3,"Biomass","R","Calthion.txt"
0.35,"Biomass","R","Calthion.txt"
0.4,"Biomass","R","Calthion.txt"
0.45,"Biomass","R","Calthion.txt"
0.5,"Biomass","R","Calthion.txt"
0.75,"Biomass","R","Calthion.txt"
0.9,"Biomass","R","Calthion.txt"
0.05,"Mortality","R","Calthion.txt"
0.1,"Mortality","R","Calthion.txt"
0.15,"Mortality","R","Calthion.txt"
0.2,"Mortality","R","Calthion.txt"
0.25,"Mortality","R","Calthion.txt"
0.3,"Mortality","R","Calthion.txt"
0.35,"Mortality","R","Calthion.txt"
0.4,"Mortality","R","Calthion.txt"
0.45,"Mortality","R","Calthion.txt"
0.5,"Mortality","R","Calthion.txt"
0.75,"Mortality","R","Calthion.txt"
0.9,"Mortality","R","Calthion.txt"
0.05,"Establishment","R","Calthion.txt"
0.1,"Establishment","R","Calthion.txt"
0.15,"Establishment","R","Calthion.txt"
0.2,"Establishment","R","Calthion.txt"
0.25,"Establishment","R","Calthion.txt"
0.3,"Establishment","R","Calthion.txt"
0.35,"Establishment","R","Calthion.txt"
0.4,"Establishment","R","Calthion.txt"
0.45,"Establishment","R","Calthion.txt"
0.5,"Establishment","R","Calthion.txt"
0.75,"Establishment","R","Calthion.txt"
0.9,"Establishment","R","Calthion.txt"
0.05,"Biomass","R","Fieldedge.txt"
0.1,"Biomass","R","Fieldedge.txt"
0.15,"Biomass","R","Fieldedge.txt"
0.2,"Biomass","R","Fieldedge.txt"
0.25,"Biomass","R","Fieldedge.txt"
0.3,"Biomass","R","Fieldedge.txt"
0.35,"Biomass","R","Fieldedge.txt"
0.4,"Biomass","R","Fieldedge.txt"
0.45,"Biomass","R","Fieldedge.txt"
0.5,"Biomass","R","Fieldedge.txt"
0.75,"Biomass","R","Fieldedge.txt"
0.9,"Biomass","R","Fieldedge.txt"
0.05,"Mortality","R","Fieldedge.txt"
0.1,"Mortality","R","Fieldedge.txt"
0.15,"Mortality","R","Fieldedge.txt"
0.2,"Mortality","R","Fieldedge.txt"
0.25,"Mortality","R","Fieldedge.txt"
0.3,"Mortality","R","Fieldedge.txt"
0.35,"Mortality","R","Fieldedge.txt"
0.4,"Mortality","R","Fieldedge.txt"
0.45,"Mortality","R","Fieldedge.txt"
0.5,"Mortality","R","Fieldedge.txt"
0.75,"Mortality","R","Fieldedge.txt"
0.9,"Mortality","R","Fieldedge.txt"
0.05,"Establishment","R","Fieldedge.txt"
0.1,"Establishment","R","Fieldedge.txt"
0.15,"Establishment","R","Fieldedge.txt"
0.2,"Establishment","R","Fieldedge.txt"
0.25,"Establishment","R","Fieldedge.txt"
0.3,"Establishment","R","Fieldedge.txt"
0.35,"Establishment","R","Fieldedge.txt"
0.4,"Establishment","R","Fieldedge.txt"
0.45,"Establishment","R","Fieldedge.txt"
0.5,"Establishment","R","Fieldedge.txt"
0.75,"Establishment","R","Fieldedge.txt"
0.9,"Establishment","R","Fieldedge.txt"
